replication,app_utilization,app_avg_queue_length,app_avg_response_time,app_throughput,db_utilization,db_avg_queue_length,db_avg_response_time,db_throughput,system_avg_end_to_end_time,system_throughput,total_requests,completed_requests,cache_hit_rate,cache_hits,cache_misses,cache_server_utilization,cache_server_avg_response_time
0,0.9998921233368242,4235.645438008756,20.719900831119887,59.833333333333336,0.9995978155871617,325.7535977514941,7.602748740241749,30.5,21.8749268394798,48.5,12021,2910,0.3008356545961003,1080,2510,0.05835190864106409,0.0034750828226009856
1,0.9995150358059562,4208.038256571144,20.724346850280185,59.31666666666667,0.9980952925040202,343.062263162693,8.328716881909209,29.9,22.232241793784755,47.833333333333336,12013,2870,0.30233211576285474,1076,2483,0.05860073879755518,0.003483913369348241
2,0.9999089491057032,4305.603342911089,21.281856834307487,59.96666666666667,0.9991285094207926,331.8054044069261,7.740268859491612,29.9,22.29268065929735,47.95,12165,2877,0.301556420233463,1085,2513,0.060101176454591856,0.003529264490983686
3,0.9994032087877935,4161.381171563788,20.59141481680788,59.68333333333333,0.9994788499990652,306.18800909724763,7.471946590640384,30.633333333333333,21.962918251777875,49.5,12021,2970,0.31611281764870147,1132,2449,0.06293000371784799,0.0036575643151673057
4,0.9996034330665139,4163.74751718186,21.067717940094973,60.65,0.9969843372346131,364.37576088255594,8.711827283777676,30.116666666666667,22.88655045085219,48.81666666666667,11926,2929,0.3083264633140973,1122,2517,0.06486743343293536,0.0037107362289171483
5,0.9997356185693307,4121.198580982739,20.895176192173995,58.6,0.9976258138743026,323.63998310369027,7.965208627643726,29.933333333333334,22.193113227629855,47.38333333333333,11740,2843,0.2977815699658703,1047,2469,0.057890184551797085,0.0035385678756614473
6,0.9995032631848991,4179.509355142331,21.208415240729487,58.96666666666667,0.9964929319943486,300.0532924952049,6.855057684268932,30.483333333333334,22.08138723995529,47.5,12039,2850,0.2885811192764274,1021,2517,0.05531017238425566,0.0034449175647511664
7,0.9999692390999908,4261.459355582274,21.514696676891667,59.93333333333333,0.9986017499715059,308.5379305862045,7.326376326865272,30.433333333333334,22.65620225347533,48.95,12088,2937,0.3089543937708565,1111,2485,0.05938175006450726,0.003350842873964606
8,0.9994232307955098,4196.848798399211,20.84513801751364,61.21666666666667,0.9964229297877237,382.2706987488669,8.877994282136786,29.766666666666666,22.29994497961225,48.06666666666667,12115,2884,0.2989381976585897,1098,2575,0.05930610835665807,0.0034757891605811564
9,0.9996570407846644,4230.022533829154,21.2480237117076,59.333333333333336,0.9941201164263196,310.88617975857557,7.590357951067775,30.583333333333332,22.41373279975609,48.31666666666667,11991,2899,0.298876404494382,1064,2496,0.05703094812387779,0.003446818599370555
