replication,app_utilization,app_avg_queue_length,app_avg_response_time,app_throughput,db_utilization,db_avg_queue_length,db_avg_response_time,db_throughput,system_avg_end_to_end_time,system_throughput,total_requests,completed_requests,cache_hit_rate,cache_hits,cache_misses,cache_server_utilization,cache_server_avg_response_time
0,0.8313711749380043,4.226834079539268,0.10043682908250234,50.36666666666667,0.9939078617801532,151.2720093141556,4.29735757282925,29.75,2.9289740514894267,45.13333333333333,3022,2708,0.3054268696227664,923,2099,0.0493187863881682,0.0034118243632559643
1,0.8188432176491854,4.393549368689026,0.1030605768820026,50.5,0.9979817010158506,151.9158339565606,4.242350033181522,30.5,2.9735035137669703,45.13333333333333,3039,2708,0.28976897689768977,878,2152,0.04812454186609774,0.0034956944322702
2,0.8329230989207729,3.57125286092307,0.08756754710997301,50.333333333333336,0.9903629247537851,131.61107548927154,3.805394297472939,29.55,2.5679657938103535,45.36666666666667,3021,2722,0.3142384105960265,949,2071,0.05214588936354195,0.003495299879841121
3,0.841691378985798,4.266110979729432,0.10096675600051831,50.55,0.999550264637627,145.28700028716958,4.171501278500897,30.833333333333332,2.893941113782629,46.05,3035,2763,0.30102209033959776,913,2120,0.0474713215586064,0.0032449817425352855
4,0.7963868909350055,3.1668496423324237,0.0814236389003879,48.75,0.9833217740854667,133.08350520104884,3.8790682251981177,29.016666666666666,2.658185947210274,43.71666666666667,2926,2623,0.30153846153846153,882,2043,0.05026533842150639,0.0036803567283749733
5,0.8208872451009637,3.906974325782842,0.09624836498155062,49.05,0.9963687527973335,147.61508399648912,4.326504717642339,29.816666666666666,3.003497269934196,44.45,2945,2667,0.2983350322799864,878,2065,0.05092868807831976,0.003702549260221351
6,0.811114023962373,2.6259016088398037,0.07120136795660911,48.266666666666666,0.9948082802751707,94.93751367310004,2.748165146523177,30.35,1.9471853339510783,44.46666666666667,2901,2668,0.29247237569060774,847,2049,0.04611272612343601,0.0033971210782387444
7,0.8638887406383541,4.879977506187368,0.11214679782821489,51.0,0.9989371242905065,150.49439657864986,4.477094300275078,29.783333333333335,2.996772926955748,46.28333333333333,3064,2777,0.3235294117647059,990,2070,0.053822700321501604,0.0033810587859866496
8,0.8423684165310079,5.155554752459354,0.11887663012541194,50.5,0.9948115590368584,162.16100775642195,4.48473559421565,30.25,3.1525305619391624,44.71666666666667,3030,2683,0.2864686468646865,868,2162,0.04822041360840741,0.0035523196347173147
9,0.8479872522343492,3.39557478700617,0.0825777007925854,51.35,0.9934992871381711,144.94345509600322,4.072657472590149,29.966666666666665,2.749396423328802,45.81666666666667,3091,2749,0.308666017526777,951,2130,0.05584234977052675,0.0036824890697461305
